,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
33,59,8,14,3,1,0,5,0,5,6,"[36.6845072973965, 582.34]"
34,60,0,10,1,0,0,3,3,30,39,"[19.997729958072266, 19.99470323550195]"
35,60,8,14,3,1,0,5,0,10,6,"[33.65922536486982, 575.617]"
36,61,0,10,1,0,0,3,3,33,42,"[19.998978481132518, 19.99761645597588]"
37,61,8,14,3,1,0,5,0,15,6,"[35.020602234506825, 578.64235]"
38,62,0,10,1,0,0,3,3,36,45,"[19.999540316509634, 19.998927405189146]"
39,62,8,14,3,1,0,5,0,20,6,"[34.40798264317017, 577.2809425]"
40,63,0,10,1,0,0,3,3,39,48,"[19.999793142429336, 19.999517332335117]"
41,63,8,14,3,1,0,5,0,25,6,"[34.68366145927166, 577.893575875]"
42,64,0,10,1,0,0,3,3,42,51,"[19.999906914093202, 19.9997827995508]"
43,64,8,14,3,1,0,5,0,30,6,"[34.55960599202599, 577.61789085625]"
44,65,0,10,1,0,0,3,3,45,54,"[19.99995811134194, 19.99990225979786]"
45,65,8,14,3,1,0,5,0,35,6,"[34.615430952286545, 577.7419491146875]"
46,66,0,10,1,0,0,3,3,48,57,"[19.99998115010387, 19.99995601690904]"
47,66,8,14,3,1,0,5,0,40,6,"[34.590309720169294, 577.6861228983906]"
48,67,7,11,3,1,0,5,0,10,0,"[245.56682643924628, 476.05143507293144]"
49,67,0,10,1,0,0,3,3,51,60,"[19.999991517546746, 19.999980207609067]"
50,67,8,14,3,1,0,5,0,45,6,"[34.60161427462206, 577.7112446957242]"
51,68,0,10,1,0,0,3,3,54,63,"[19.999996182896034, 19.99999109342408]"
52,68,8,14,3,1,0,5,0,50,6,"[34.596527225118315, 577.6999398869241]"
53,69,0,10,1,0,0,3,3,57,66,"[19.999998282303217, 19.999995992040837]"
54,69,8,14,3,1,0,5,0,55,6,"[34.598816397395, 577.7050270508842]"
55,70,0,10,1,0,0,3,3,60,69,"[19.999999227036447, 19.999998196418375]"
56,70,8,14,3,1,0,5,0,60,6,"[34.59778626987049, 577.702737827102]"
57,71,0,10,1,0,0,3,3,63,72,"[19.9999996521664, 19.99999918838827]"
58,71,8,14,3,1,0,5,0,65,6,"[34.598249827256524, 577.7037679778041]"
59,72,0,10,1,0,0,3,3,66,75,"[19.999999843474882, 19.999999634774724]"
60,72,11,14,2,0,1,0,5,0,70,"[62.04768173812846, 561.9375754958927]"
61,73,7,11,3,1,0,5,0,15,0,"[173.03749023483306, 489.2897529043306]"
62,73,0,10,1,0,0,3,3,69,78,"[19.999999929563693, 19.999999835648623]"
63,73,11,14,2,0,1,0,5,0,75,"[89.10018573642303, 548.476351872886]"
